tiempo_s,duty,pulsos_por_segundo
18.60824,0.4,-697.489
18.62826,0.4,-749.101
18.64831,0.4,-698.324
18.66832,0.4,-749.85
18.68835,0.4,-698.742
18.70837,0.4,-749.401
18.7284,0.4,-699.021
18.7484,0.4,-750
18.76842,0.4,-699.301
18.78842,0.4,-750
18.80842,0.4,-699.72
18.82843,0.4,-749.85
18.84846,0.4,-698.882
18.86852,0.4,-747.757
18.88854,0.4,-699.44
18.90857,0.4,-748.802
18.9286,0.4,-698.742
18.94861,0.4,-750
18.96867,0.4,-697.767
18.98869,0.4,-749.251
19.0087,0.4,-699.44
19.02872,0.4,-749.401
19.04875,0.4,-748.802
19.06881,0.4,-698.045
19.08887,0.4,-747.757
19.10893,0.4,-697.767
19.12895,0.4,-749.251
19.14901,0.4,-698.045
19.16908,0.4,-747.31
19.1891,0.4,-699.301
19.20911,0.4,-749.85
19.22913,0.4,-699.161
19.24913,0.4,-749.85
19.26916,0.4,-748.802
19.28924,0.4,-697.211
19.30928,0.4,-748.652
19.32928,0.4,-700
19.34931,0.4,-748.802
19.36936,0.4,-698.185
19.38939,0.4,-749.101
19.40942,0.4,-698.882
19.42948,0.4,-747.906
19.44952,0.4,-698.463
19.46954,0.4,-749.251
19.48957,0.4,-749.101
19.5096,0.4,-698.882
19.52967,0.4,-747.31
19.54974,0.4,-697.628
19.56976,0.4,-749.101
19.58979,0.4,-699.161
19.60984,0.4,-748.055
19.62989,0.4,-747.906
19.6499,0.4,-699.72
19.66995,0.4,-748.055
19.69001,0.4,-697.906
19.71005,0.4,-748.503
19.73006,0.4,-699.86
19.75011,0.4,-747.906
19.7702,0.4,-746.863
19.79024,0.4,-698.463
19.81024,0.4,-749.85
19.83028,0.4,-698.742
19.85029,0.4,-749.55
19.87032,0.4,-698.882
19.89039,0.4,-747.608
19.9104,0.4,-749.55
19.93042,0.4,-699.44
19.95042,0.4,-749.7
19.97045,0.4,-699.161
19.99052,0.4,-747.459
20.01057,0.6,-698.045
20.03058,0.6,-799.84
20.05062,0.6,-748.354
20.07067,0.6,-797.925
20.09074,0.6,-797.289
20.11075,0.6,-849.66
20.13077,0.6,-849.151
20.15083,0.6,-847.289
20.17084,0.6,-899.46
20.19088,0.6,-898.204
20.21092,0.6,-898.383
20.23098,0.6,-897.487
20.251,0.6,-948.672
20.27107,0.6,-946.781
20.29109,0.6,-949.051
20.31116,0.6,-946.781
20.3312,0.6,-947.915
20.3512,0.6,-950
20.37122,0.6,-999.001
20.39127,0.6,-947.915
20.41127,0.6,-999.8
20.4313,0.6,-998.801
20.4513,0.6,-999.6
20.47133,0.6,-998.602
20.4914,0.6,-996.81
20.51145,0.6,-997.407
20.5315,0.6,-1047.486
20.55152,0.6,-999.001
20.57158,0.6,-996.81
20.59158,0.6,-1050
20.61162,0.6,-997.805
20.63164,0.6,-1048.951
20.6517,0.6,-1047.068
20.67176,0.6,-997.208
20.6918,0.6,-1047.695
20.71181,0.6,-1049.58
20.73184,0.6,-1048.323
20.75189,0.6,-1047.486
20.77193,0.6,-998.004
20.79194,0.6,-1049.37
20.81197,0.6,-1048.323
20.83205,0.6,-1046.234
20.85208,0.6,-1048.113
20.87214,0.6,-1046.859
20.89221,0.6,-1046.234
20.91224,0.6,-1098.462
20.93231,0.6,-1046.442
20.95236,0.6,-1047.486
20.97242,0.6,-1046.442
20.99244,0.6,-1049.161
21.01249,0.6,-1047.277
21.03251,0.6,-1048.951
